product_type	google_product_category
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>KIDS FOOTWEAR>SANDALS	Apparel & Accessories>Shoes
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
HUNTING>GAME CALLS>DEER CALLS	Sporting Goods > Outdoor Recreation > Hunting > Hunting Calls
FOOTWEAR>ACCESSORIES	Apparel & Accessories > Shoe Accessories
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>MENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories>Shoes>Loafers & Slip-Ons
HUNTING>GAME CALLS>DEER CALLS	Sporting Goods > Outdoor Recreation > Hunting > Hunting Calls
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>MENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
FOOTWEAR>SOCKS>HUNTING	Apparel & Accessories > Clothing > Activewear > Hunting Clothing
SKIS AND SKI EQUIPMENT>TRAVEL GEAR AND BAGS	Sporting Goods > Winter Sports
FOOTWEAR>MENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories>Shoes>Loafers & Slip-Ons
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
HUNTING>MULTI-TOOLS	Sporting Goods > Outdoor Recreation > Hunting
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
HUNTING>GAME CALLS>OTHER CALLS	Sporting Goods > Outdoor Recreation > Hunting > Hunting Calls
FOOTWEAR>KIDS FOOTWEAR>SANDALS	Apparel & Accessories > Shoes > Sandals
