UNIQUE INTERNAL CODE,UPC (UNIVERSAL PRODUCT CODE),PRODUCT NAME,PRODUCT DESCRIPTION,PRODUCT PRICE,PRODUCT URL,IMAGE URL,CATEGORY,MANUFACTURER,STOCK STATUS,CONDITION (IF NOT NEW),MPN (MANUFACTURER PART NUMBER),PAYMENT TYPE,KEYWORDS,MSRP,SALE PRICE,GENDER,DEPARTMENT,SHIPPING COST,SIZE,SHIPPING WEIGHT,COLOR,PROMOTIONAL MESSAGE,ZIP CODE,CURRENCY,Item Group ID,Google Age Group,custom label 0
922,10135009069,Primos Blue Snap - On Bugle Reeds,Primos Blue Snap-On Reeds fit the Terminator the Pack Bugle and the Bull Horn. Blue Snap-On Reeds are molded from silicone. Silicone won`t rot like latex and they`re easy to use just snap `em on and you`re ready to go. There`s no stretching or frustration trying to tune your call.,8.99,https://www.bobwards.com/primos-blue-snapon-bugle-reeds-170,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/57247-DEFAULT-l.jpg,HUNTING>GAME CALLS>ELK CALLS,Primos,Y,New,906,"Visa, MasterCard, AmericanExpress, Discover","Primos, Blue, Snap-On, Bugle, Reeds, 906, hunting,",12,8.99,u,HUNTING,,,1,,Same Day Shipping,59801,USD,170,Adult,0-49
1632,37447168123,Leatherman Tool Squirt Ps4 Multi - Tool,The first miniature pliers multi-tool tough enough to be a Leatherman . Attach the spring-action Squirt P4 to your key ring or backpack. With three screwdrivers wire cutters a knife blade and more the Ps4 keeps your on-the-go life going. Tiny. Tough. And 100% Leatherman.,32.99,https://www.bobwards.com/leatherman-tool-squirt-ps4-multitool-339,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/61002-DEFAULT-l.jpg,HUNTING>MULTI-TOOLS,Leatherman Tool,Y,New,831192,"Visa, MasterCard, AmericanExpress, Discover","leatherman, squirt, ps4, multi, tool, 831192",32.99,32.99,u,HUNTING,,,0.5,,Same Day Shipping,59801,USD,339,Adult,0-49
815628,700051560668,The North Face Girls Youth Greenland Zip Boots - Brownie / Pnk Lemonade,These cozy zip ups are a coveted favorite among young winter enthusiasts; providing waterproof insulated protection against wet wintry conditions from the mid-calf down. Designed with a faux fur collar these durable boots are insulated with 400 grams of H.O.T. insulation; keeping young athletes` feet warm in temperatures down to -40 degrees Fahrenheit.,29.99,https://www.bobwards.com/the-north-face-girls-youth-greenland-zip-boots-49?color=BROWNIE%2FPNK%20LEMONADE&size=11,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/tnf_ah5g_c59_12.jpg,FOOTWEAR>KIDS FOOTWEAR>INSULATED AND WINTER BOOTS,The North Face,Y,New,AH5G,"Visa, MasterCard, AmericanExpress, Discover","The, North, Face, Girls, Youth, Greenland, Zip, Boots,TNF,AH5G,pink",60,29.99,f,FOOTWEAR,,11,4,Brownie / Pnk Lemonade,Same Day Shipping,59801,USD,49,Kids,0-49
96123,605284014714,Smartwool Hiking Light Crew Socks - Sage,An arch brace holds the sock in place and adds additional support while a flat-knit toe seam keeps you comfortable throughout the day. Perfect for moderate hiking or aggressive walking.,16.99,https://www.bobwards.com/smartwool-hiking-light-crew-socks-364?color=SAGE&size=S,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/SW129_sage.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW129,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Light, Crew, Socks,SW129,taupe,black",17.95,16.99,m,FOOTWEAR,,S,0.5,Sage,Same Day Shipping,59801,USD,364,Adult,0-49
713021,605284452127,Smartwool Hiking Light Crew Socks - Black,An arch brace holds the sock in place and adds additional support while a flat-knit toe seam keeps you comfortable throughout the day. Perfect for moderate hiking or aggressive walking.,16.99,https://www.bobwards.com/smartwool-hiking-light-crew-socks-364?color=BLACK&size=M,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/s_SW129(10129)_blk_14.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW129,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Light, Crew, Socks,SW129,taupe,black",17.95,16.99,m,FOOTWEAR,,M,0.5,Black,Same Day Shipping,59801,USD,364,Adult,0-49
921,10135009045,Primos Terminator Elk System Call,Primos Terminator Elk System was made for accurate and easy to duplicate elk sounds. The Terminator can be used with any of our elk mouth diaphragm calls but it especially works well with our Sound Plate calls. It is excellent for bull elk glunking! This is the state-of-the-art design for reproducing accurate elk resonance and tone!,34.99,https://www.bobwards.com/primos-terminator-elk-system-call-169,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/57245-DEFAULT-l.jpg,HUNTING>GAME CALLS>ELK CALLS,Primos,Y,New,904,"Visa, MasterCard, AmericanExpress, Discover","Primos, Terminator, Elk, System, Call, 904, hunting,",36.95,34.99,u,HUNTING,,,1,,Same Day Shipping,59801,USD,169,Adult,0-49
929,10135007386,Primos The Great Big Can Deer Call,Primos The Great Big Can has been tuned to be louder and longer for long-range calling. It`s perfect for windy days and hunting wide-open fields.,14.99,https://www.bobwards.com/primos-the-great-big-can-deer-call-177,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/57220-DEFAULT-l.jpg,HUNTING>GAME CALLS>DEER CALLS,Primos,Y,New,738,"Visa, MasterCard, AmericanExpress, Discover","Primos, The, Great, Big, Can, Deer, Call, 736, hunting,",20,14.99,u,HUNTING,,,1,,Same Day Shipping,59801,USD,177,Adult,0-49
220830,605284002902,Smartwool Hiking Medium Crew Socks - Dark Brown,A good all-purpose three-season outdoor Smartwool sock designed for rugged day hikes or lightweight backpacking. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,17.99,https://www.bobwards.com/smartwool-hiking-medium-crew-socks-365?color=DARK%20BROWN&size=S,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/swool_SW130_dkbrn_11.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW130,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Medium, Crew, Socks,SW130,10-130",18.95,17.99,m,FOOTWEAR,,S,0.5,Dark Brown,Same Day Shipping,59801,USD,365,Adult,0-49
924,10135009304,Primos Hoochie Mama Elk Call,It`s hard to master a sound you seldom hear like the sounds of a cow elk. Well Primos mastered it for you with the Hoochie Mama cow elk push call. Just push the bellow for perfect cow elk sounds with that distinctive sliding note. A simple twist of the call lets you switch between mews Lost cow calls and Estrus cow sounds.,24.99,https://www.bobwards.com/primos-hoochie-mama-elk-call-172,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/57263-DEFAULT-l.jpg,HUNTING>GAME CALLS>ELK CALLS,Primos,Y,New,930,"Visa, MasterCard, AmericanExpress, Discover","Primos, Hoochie, Mama, Elk, Call, 930, hunting,",35,24.99,u,HUNTING,,,1,,Same Day Shipping,59801,USD,172,Adult,0-49
1626,37447312526,Leatherman Tool Wave Multi - Tool,The Leatherman Wave multi-tool is hands down their most popular model made famous by its outside-accessible blades that can be deployed with just one hand. When they redesigned it they gave the new Wave larger knives stronger pliers longer wire cutters and all-locking blades. Perfect for any job adventure or everyday task the Wave multi-tool is an international best-seller.,89.99,https://www.bobwards.com/leatherman-tool-wave-multitool-333,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/82177-DEFAULT-l.jpg,HUNTING>MULTI-TOOLS,Leatherman Tool,Y,New,830037,"Visa, MasterCard, AmericanExpress, Discover","leatherman, tool, multi, new, wave, 830037",89.99,89.99,u,HUNTING,0,,0.5,,Free Shipping,59801,USD,333,Adult,50-99
210258,29191961020,Nordic Gear Lectra Sox Heated Sock - Grey / Maroon,Put an end to cold feet this winter with Nordic Gear Lectra heated sock. With the flick of a switch you`ll have heat flowing into your socks eliminating discomfort and letting you concentrate on the task at hand!,23.99,https://www.bobwards.com/nordic-gear-lectra-sox-heated-sock-112?color=GREY%20%2F%20MAROON&size=M,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/ng_LS_margr_08.jpg,FOOTWEAR>SOCKS>WINTER,Nordic Gear,Y,New,LS,"Visa, MasterCard, AmericanExpress, Discover",,30,23.99,m,FOOTWEAR,,M,0.5,Grey / Maroon,Same Day Shipping,59801,USD,112,Adult,0-49
918,10135001582,Primos Sentry Plate Single : Elk Call,The Primos Sound Plate automatically positions the call in your mouth at the right place and angle making calling elk easier. The Sentry Plate Single has a Sound Plate set at 16 degrees which is perfect for cow calf talk and spike bull bugles.,5.99,https://www.bobwards.com/primos-sentry-plate-single-elk-call-166,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/57125-DEFAULT-l.jpg,HUNTING>GAME CALLS>ELK CALLS,Primos,Y,New,158,"Visa, MasterCard, AmericanExpress, Discover","Primos, Sentry, Plate, Single:, Elk, Call, 158, hunting",8,5.99,u,HUNTING,,,1,,Same Day Shipping,59801,USD,166,Adult,0-49
919,10135001599,Primos Ivory Plate Single : Elk Call,The Ivory Plate Single from Primos automatically positions the call at precisely the right angle which makes calling elk easier. The Ivory Plate Single has a sound plate set at 30 degree which is perfect for cow calf talk and satellite bull bugles.,5.99,https://www.bobwards.com/primos-ivory-plate-single-elk-call-167,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/57126-DEFAULT-l.jpg,HUNTING>GAME CALLS>ELK CALLS,Primos,Y,New,159,"Visa, MasterCard, AmericanExpress, Discover","Primos, Ivory, Plate, Single:, Elk, Call, hunting, 159,",8,5.99,u,HUNTING,,,1,,Same Day Shipping,59801,USD,167,Adult,0-49
930,10135007027,Primos Deer Bleat And Bawl Call,Hunters won`t believe how Primos Bleat and Bawl brings does charging in during the early season. This call also reproduces a short bleat and Estrus bleat perfect for all season hunting when you`re after that big buck.,9.99,https://www.bobwards.com/primos-deer-bleat-and-bawl-call-178,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/57206-DEFAULT-l.jpg,HUNTING>GAME CALLS>DEER CALLS,Primos,Y,New,702,"Visa, MasterCard, AmericanExpress, Discover","Primos, Deer, Bleat, and, Bawl, Call, 702, hunting,",12,9.99,u,HUNTING,,,1,,Same Day Shipping,59801,USD,178,Adult,0-49
1487,33753058608,Buck Nobleman Titanium Coated Folding Blade Knife,The Nobleman is your every day use pocket knife complete with style. It features a strong 440A steel blade and a stainless steel handle that`s coated in titanium to give it it`s dashing good looks.,28.99,https://www.bobwards.com/buck-nobleman-titanium-coated-folding-blade-knife-304,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/52744-DEFAULT-l.jpg,HUNTING>CUTTING TOOLS>FOLDING BLADE KNIFE,Buck,Y,New,0327TTS,"Visa, MasterCard, AmericanExpress, Discover","buck, knives, nobleman, titanium, folding, blade, knife, 327TT",40,28.99,u,HUNTING,,,1,,Same Day Shipping,59801,USD,304,Adult,0-49
1710,605284002797,Smartwool Hiking Light Crew Socks - Taupe,An arch brace holds the sock in place and adds additional support while a flat-knit toe seam keeps you comfortable throughout the day. Perfect for moderate hiking or aggressive walking.,16.99,https://www.bobwards.com/smartwool-hiking-light-crew-socks-364?color=TAUPE&size=M,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/SW129_taupe.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW129,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Light, Crew, Socks,SW129,taupe,black",17.95,16.99,m,FOOTWEAR,,M,0.5,Taupe,Same Day Shipping,59801,USD,364,Adult,0-49
1715,605284000076,Smartwool Hiking Medium Crew Socks - Grey,A good all-purpose three-season outdoor Smartwool sock designed for rugged day hikes or lightweight backpacking. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,17.99,https://www.bobwards.com/smartwool-hiking-medium-crew-socks-365?color=GREY&size=M,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/swool_SW130_grey_11.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW130,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Medium, Crew, Socks,SW130,10-130",18.95,17.99,m,FOOTWEAR,,M,0.5,Grey,Same Day Shipping,59801,USD,365,Adult,0-49
220833,605284002933,Smartwool Hiking Medium Crew Socks - Dark Brown,A good all-purpose three-season outdoor Smartwool sock designed for rugged day hikes or lightweight backpacking. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,17.99,https://www.bobwards.com/smartwool-hiking-medium-crew-socks-365?color=DARK%20BROWN&size=XL,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/swool_SW130_dkbrn_11.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW130,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Medium, Crew, Socks,SW130,10-130",18.95,17.99,m,FOOTWEAR,,XL,0.5,Dark Brown,Same Day Shipping,59801,USD,365,Adult,0-49
920,10135001605,Primos Imperial Plate Double : Elk Call,The Imperial Plate Double from Primos automatically positions the call in your mouth at the right place and angle making calling elk easier. The 30 angle of the Sound Plate the double-reed design and V cut in the bottom reed make the Imperial Plate Double is perfect for reproducing cow and herd bull sounds. The V cut also adds to the raspy sounds of the herd bull`s growl bugle and chuckle.,6.99,https://www.bobwards.com/primos-imperial-plate-double-elk-call-168,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/57150-DEFAULT-l.jpg,HUNTING>GAME CALLS>ELK CALLS,Primos,Y,New,160,"Visa, MasterCard, AmericanExpress, Discover","Primos, Imperial, Plate, Double:, Elk, Call, 160, hunting,",8,6.99,u,HUNTING,,,1,,Same Day Shipping,59801,USD,168,Adult,0-49
1164,877706000531,Kenetrek Mens Grizzly Pac Boots ( 10 Inch ) - Brown,Hunters and workers alike call the 10? Grizzly Pac Boot their everyday all day boot. Made with old world craftsmanship using the finest components available these boots are built tough! Rubber bottom leather top pac boots have been standard wear in the north woods for over a century. They have always been warm and waterproof but not very comfortable to walk in until now!,229.99,https://www.bobwards.com/kenetrek-mens-grizzly-pac-boots-10-inch-223?color=BROWN&size=13,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/41906-DEFAULT-l.jpg,FOOTWEAR>MENS FOOTWEAR>HUNTING BOOTS,Kenetrek,Y,New,KE0428K,"Visa, MasterCard, AmericanExpress, Discover",,235,229.99,m,FOOTWEAR,0,13,5,Brown,Free Shipping,59801,USD,223,Adult,200-299
183,827399561505,The North Face Women's Carina Mule - Brownie / Pink,Stylish water-resistant and insulated mule for mountain life. Complete with a cute faux fur collar and flower applique over the forefoot.,35,https://www.bobwards.com/the-north-face-womens-carina-mule-42?color=BROWNIE%20%2F%20PINK&size=10,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/20948-DEFAULT-L.jpg,FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS,The North Face,Y,New,AH4S,"Visa, MasterCard, AmericanExpress, Discover",,70,35,f,FOOTWEAR,,10,3,Brownie / Pink,Same Day Shipping,59801,USD,42,Adult,0-49
931,10135007379,Primos Rubberneck Deer Call,With the push of a button Primos RubberNeck converts from a mature buck grunt to a young buck grunt or a doe Estrus. For the ultimate tone and volume control just squeeze the megaphone end. You can use the call with the traditional lanyard around your neck or strap it to your arm for easy accessibility in critical moments.,13.99,https://www.bobwards.com/primos-rubberneck-deer-call-179,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/57219-DEFAULT-l.jpg,HUNTING>GAME CALLS>DEER CALLS,Primos,Y,New,737,"Visa, MasterCard, AmericanExpress, Discover","Primos, RubberNeck, Deer, Call, 737, hunting",18,13.99,u,HUNTING,,,1,,Same Day Shipping,59801,USD,179,Adult,0-49
935,10135009182,Primos Moose Horn Pak,Primos Moose Horn Pak is an open-reed style call that is 100% FREEZEPROOF. The Moose Horn reproduces the mating call of an Estrus cow.,15.99,https://www.bobwards.com/primos-moose-horn-pak-183,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/57251-DEFAULT-l.jpg,HUNTING>GAME CALLS>OTHER CALLS,Primos,Y,New,918,"Visa, MasterCard, AmericanExpress, Discover","Primos, Moose, Horn, Pak, 918, huntng,",20,15.99,u,HUNTING,,,2,,Same Day Shipping,59801,USD,183,Adult,0-49
1170,877706000869,Kenetrek Mens Grizzly Pac Boots ( 13 Inch ) - Brown,Hunters and workers alike call the 13? Grizzly Pac Boot by Kenetrek their everyday all day boot. Made with old world craftsmanship using the finest components available these boots are built tough! Rubber bottom leather top pac boots have been standard wear in the north woods for over a century. They have always been warm and waterproof but not very comfortable to walk in until now!,269.99,https://www.bobwards.com/kenetrek-mens-grizzly-pac-boots-13-inch-224?color=BROWN&size=13,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/65165-DEFAULT-l.jpg,FOOTWEAR>MENS FOOTWEAR>HUNTING BOOTS,Kenetrek,Y,New,KE3428K,"Visa, MasterCard, AmericanExpress, Discover","kenetrek, men's, grizzly, pac, boots, 13, inch, KE3428K",275,269.99,m,FOOTWEAR,0,13,6,Brown,Free Shipping,59801,USD,224,Adult,200-299
1711,605284002803,Smartwool Hiking Light Crew Socks - Taupe,An arch brace holds the sock in place and adds additional support while a flat-knit toe seam keeps you comfortable throughout the day. Perfect for moderate hiking or aggressive walking.,16.99,https://www.bobwards.com/smartwool-hiking-light-crew-socks-364?color=TAUPE&size=L,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/SW129_taupe.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW129,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Light, Crew, Socks,SW129,taupe,black",17.95,16.99,m,FOOTWEAR,,L,0.5,Taupe,Same Day Shipping,59801,USD,364,Adult,0-49
201114,605284002711,Smartwool Hiking Light Crew Socks - Gray,An arch brace holds the sock in place and adds additional support while a flat-knit toe seam keeps you comfortable throughout the day. Perfect for moderate hiking or aggressive walking.,16.99,https://www.bobwards.com/smartwool-hiking-light-crew-socks-364?color=GRAY&size=M,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/SW129_gray.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW129,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Light, Crew, Socks,SW129,taupe,black",17.95,16.99,m,FOOTWEAR,,M,0.5,Gray,Same Day Shipping,59801,USD,364,Adult,0-49
